// 3目标 + 新拥挤距离 + fix/priori/assemble
start:
Enemy Loss average: 	237.6	Enemy Loss best: 	300	My Team Loss average: 	70.44	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	239.2	Enemy Loss best: 	300	My Team Loss average: 	69.6	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	241.4	Enemy Loss best: 	300	My Team Loss average: 	73.44	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	242.5	Enemy Loss best: 	300	My Team Loss average: 	73.44	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	244.8	Enemy Loss best: 	300	My Team Loss average: 	75.36	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	244.9	Enemy Loss best: 	300	My Team Loss average: 	76.2	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	244.2	Enemy Loss best: 	300	My Team Loss average: 	74.88	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	245.1	Enemy Loss best: 	300	My Team Loss average: 	71.86	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	245.1	Enemy Loss best: 	300	My Team Loss average: 	71.86	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	244.1	Enemy Loss best: 	300	My Team Loss average: 	70.9	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	244.3	Enemy Loss best: 	300	My Team Loss average: 	70.9	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	246.2	Enemy Loss best: 	300	My Team Loss average: 	76.68	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	246.3	Enemy Loss best: 	300	My Team Loss average: 	74.62	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	248.6	Enemy Loss best: 	300	My Team Loss average: 	74.1	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	249.4	Enemy Loss best: 	300	My Team Loss average: 	76.02	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	250.7	Enemy Loss best: 	300	My Team Loss average: 	78.78	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	250.6	Enemy Loss best: 	300	My Team Loss average: 	77.4	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	253.1	Enemy Loss best: 	300	My Team Loss average: 	81.64	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	252.7	Enemy Loss best: 	300	My Team Loss average: 	79.42	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	251.8	Enemy Loss best: 	300	My Team Loss average: 	75.9	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	252.6	Enemy Loss best: 	300	My Team Loss average: 	77.34	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	252.6	Enemy Loss best: 	300	My Team Loss average: 	77.34	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	252.6	Enemy Loss best: 	300	My Team Loss average: 	77.34	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	246.2	Enemy Loss best: 	310	My Team Loss average: 	71.94	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	249.6	Enemy Loss best: 	310	My Team Loss average: 	71.94	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	250	Enemy Loss best: 	310	My Team Loss average: 	67.14	My Team Loss best: 	0	 average: 	300	 best: 	300	
